"country","year","pop","svet_pop","podil_na_sv_p"
"Albania",1957,1476505,2664404580,0.00055
"Montenegro",1957,442829,2664404580,0.00017
"Iceland",1957,165110,2664404580,6e-05
"Germany",1962,73739117,2899782974,0.02543
"United Kingdom",1962,53292000,2899782974,0.01838
"Italy",1962,50843200,2899782974,0.01753
"France",1962,47124000,2899782974,0.01625
"Spain",1962,31158061,2899782974,0.01074
"Poland",1962,30329617,2899782974,0.01046
"Turkey",1962,29788695,2899782974,0.01027
"Romania",1962,18680721,2899782974,0.00644
"Netherlands",1962,11805689,2899782974,0.00407
"Hungary",1962,10063000,2899782974,0.00347
"Czech Republic",1962,9620282,2899782974,0.00332
"Belgium",1962,9218400,2899782974,0.00318
"Portugal",1962,9019800,2899782974,0.00311
"Greece",1962,8448233,2899782974,0.00291
"Bulgaria",1962,8012946,2899782974,0.00276
"Serbia",1962,7616060,2899782974,0.00263
"Sweden",1962,7561588,2899782974,0.00261
"Austria",1962,7129864,2899782974,0.00246
"Switzerland",1962,5666000,2899782974,0.00195
"Denmark",1962,4646899,2899782974,0.0016
"Finland",1962,4491443,2899782974,0.00155
"Slovak Republic",1962,4237384,2899782974,0.00146
"Croatia",1962,4076557,2899782974,0.00141
"Norway",1962,3638919,2899782974,0.00125
"Bosnia and Herzegovina",1962,3349000,2899782974,0.00115
"Ireland",1962,2830000,2899782974,0.00098
"Albania",1962,1728137,2899782974,6e-04
"Slovenia",1962,1582962,2899782974,0.00055
"Montenegro",1962,474528,2899782974,0.00016
"Iceland",1962,182053,2899782974,6e-05
"Germany",1967,76368453,3217478384,0.02374
"United Kingdom",1967,54959000,3217478384,0.01708
"Italy",1967,52667100,3217478384,0.01637
"France",1967,49569000,3217478384,0.01541
"Turkey",1967,33411317,3217478384,0.01038
"Spain",1967,32850275,3217478384,0.01021
"Poland",1967,31785378,3217478384,0.00988
"Romania",1967,19284814,3217478384,0.00599
"Netherlands",1967,12596822,3217478384,0.00392
"Hungary",1967,10223422,3217478384,0.00318
"Czech Republic",1967,9835109,3217478384,0.00306
"Belgium",1967,9556500,3217478384,0.00297
"Portugal",1967,9103000,3217478384,0.00283
"Greece",1967,8716441,3217478384,0.00271
"Bulgaria",1967,8310226,3217478384,0.00258
"Serbia",1967,7971222,3217478384,0.00248
"Sweden",1967,7867931,3217478384,0.00245
"Austria",1967,7376998,3217478384,0.00229
"Switzerland",1967,6063000,3217478384,0.00188
"Denmark",1967,4838800,3217478384,0.0015
"Finland",1967,4605744,3217478384,0.00143
"Slovak Republic",1967,4442238,3217478384,0.00138
"Croatia",1967,4174366,3217478384,0.0013
"Norway",1967,3786019,3217478384,0.00118
"Bosnia and Herzegovina",1967,3585000,3217478384,0.00111
"Ireland",1967,2900100,3217478384,9e-04
"Albania",1967,1984060,3217478384,0.00062
"Slovenia",1967,1646912,3217478384,0.00051
"Montenegro",1967,501035,3217478384,0.00016
"Iceland",1967,198676,3217478384,6e-05
"Germany",1972,78717088,3576977158,0.02201
"United Kingdom",1972,56079000,3576977158,0.01568
"Italy",1972,54365564,3576977158,0.0152
"France",1972,51732000,3576977158,0.01446
"Turkey",1972,37492953,3576977158,0.01048
"Spain",1972,34513161,3576977158,0.00965
"Poland",1972,33039545,3576977158,0.00924
"Romania",1972,20662648,3576977158,0.00578
"Netherlands",1972,13329874,3576977158,0.00373
"Hungary",1972,10394091,3576977158,0.00291
"Czech Republic",1972,9862158,3576977158,0.00276
"Belgium",1972,9709100,3576977158,0.00271
"Portugal",1972,8970450,3576977158,0.00251
"Greece",1972,8888628,3576977158,0.00248
"Bulgaria",1972,8576200,3576977158,0.0024
"Serbia",1972,8313288,3576977158,0.00232
"Sweden",1972,8122293,3576977158,0.00227
"Austria",1972,7544201,3576977158,0.00211
"Switzerland",1972,6401400,3576977158,0.00179
"Denmark",1972,4991596,3576977158,0.0014
"Finland",1972,4639657,3576977158,0.0013
"Slovak Republic",1972,4593433,3576977158,0.00128
"Croatia",1972,4225310,3576977158,0.00118
"Norway",1972,3933004,3576977158,0.0011
"Bosnia and Herzegovina",1972,3819000,3576977158,0.00107
"Ireland",1972,3024400,3576977158,0.00085
"Albania",1972,2263554,3576977158,0.00063
"Slovenia",1972,1694510,3576977158,0.00047
"Montenegro",1972,527678,3576977158,0.00015
"Iceland",1972,209275,3576977158,6e-05
"Germany",1977,78160773,3930045807,0.01989
"United Kingdom",1977,56179000,3930045807,0.01429
"Italy",1977,56059245,3930045807,0.01426
"France",1977,53165019,3930045807,0.01353
"Turkey",1977,42404033,3930045807,0.01079
"Spain",1977,36439000,3930045807,0.00927
"Poland",1977,34621254,3930045807,0.00881
"Romania",1977,21658597,3930045807,0.00551
"Netherlands",1977,13852989,3930045807,0.00352
"Hungary",1977,10637171,3930045807,0.00271
"Czech Republic",1977,10161915,3930045807,0.00259
"Belgium",1977,9821800,3930045807,0.0025
"Portugal",1977,9662600,3930045807,0.00246
"Greece",1977,9308479,3930045807,0.00237
"Bulgaria",1977,8797022,3930045807,0.00224
"Serbia",1977,8686367,3930045807,0.00221
"Sweden",1977,8251648,3930045807,0.0021
"Austria",1977,7568430,3930045807,0.00193
"Switzerland",1977,6316424,3930045807,0.00161
"Denmark",1977,5088419,3930045807,0.00129
"Slovak Republic",1977,4827803,3930045807,0.00123
"Finland",1977,4738902,3930045807,0.00121
"Croatia",1977,4318673,3930045807,0.0011
"Bosnia and Herzegovina",1977,4086000,3930045807,0.00104
"Norway",1977,4043205,3930045807,0.00103
"Ireland",1977,3271900,3930045807,0.00083
"Albania",1977,2509048,3930045807,0.00064
"Slovenia",1977,1746919,3930045807,0.00044
"Montenegro",1977,560073,3930045807,0.00014
"Iceland",1977,221823,3930045807,6e-05
"Germany",1982,78335266,4289436840,0.01826
"Italy",1982,56535636,4289436840,0.01318
"United Kingdom",1982,56339704,4289436840,0.01313
"France",1982,54433565,4289436840,0.01269
"Turkey",1982,47328791,4289436840,0.01103
"Spain",1982,37983310,4289436840,0.00886
"Poland",1982,36227381,4289436840,0.00845
"Romania",1982,22356726,4289436840,0.00521
"Netherlands",1982,14310401,4289436840,0.00334
"Hungary",1982,10705535,4289436840,0.0025
"Czech Republic",1982,10303704,4289436840,0.0024
"Belgium",1982,9856303,4289436840,0.0023
"Portugal",1982,9859650,4289436840,0.0023
"Greece",1982,9786480,4289436840,0.00228
"Serbia",1982,9032824,4289436840,0.00211
"Bulgaria",1982,8892098,4289436840,0.00207
"Sweden",1982,8325260,4289436840,0.00194
"Austria",1982,7574613,4289436840,0.00177
"Switzerland",1982,6468126,4289436840,0.00151
"Denmark",1982,5117810,4289436840,0.00119
"Slovak Republic",1982,5048043,4289436840,0.00118
"Finland",1982,4826933,4289436840,0.00113
"Croatia",1982,4413368,4289436840,0.00103
"Bosnia and Herzegovina",1982,4172693,4289436840,0.00097
"Norway",1982,4114787,4289436840,0.00096
"Ireland",1982,3480000,4289436840,0.00081
"Albania",1982,2780097,4289436840,0.00065
"Slovenia",1982,1861252,4289436840,0.00043
"Montenegro",1982,562548,4289436840,0.00013
"Iceland",1982,233997,4289436840,5e-05
"Germany",1987,77718298,4691477418,0.01657
"United Kingdom",1987,56981620,4691477418,0.01215
"Italy",1987,56729703,4691477418,0.01209
"France",1987,55630100,4691477418,0.01186
"Turkey",1987,52881328,4691477418,0.01127
"Spain",1987,38880702,4691477418,0.00829
"Poland",1987,37740710,4691477418,0.00804
"Romania",1987,22686371,4691477418,0.00484
"Netherlands",1987,14665278,4691477418,0.00313
"Hungary",1987,10612740,4691477418,0.00226
"Czech Republic",1987,10311597,4691477418,0.0022
"Greece",1987,9974490,4691477418,0.00213
"Portugal",1987,9915289,4691477418,0.00211
"Belgium",1987,9870200,4691477418,0.0021
"Serbia",1987,9230783,4691477418,0.00197
"Bulgaria",1987,8971958,4691477418,0.00191
"Sweden",1987,8421403,4691477418,0.0018
"Austria",1987,7578903,4691477418,0.00162
"Switzerland",1987,6649942,4691477418,0.00142
"Slovak Republic",1987,5199318,4691477418,0.00111
"Denmark",1987,5127024,4691477418,0.00109
"Finland",1987,4931729,4691477418,0.00105
"Croatia",1987,4484310,4691477418,0.00096
"Bosnia and Herzegovina",1987,4338977,4691477418,0.00092
"Norway",1987,4186147,4691477418,0.00089
"Ireland",1987,3539900,4691477418,0.00075
"Albania",1987,3075321,4691477418,0.00066
"Slovenia",1987,1945870,4691477418,0.00041
"Montenegro",1987,569473,4691477418,0.00012
"Iceland",1987,244676,4691477418,5e-05
"Germany",1992,80597764,5110710260,0.01577
"Turkey",1992,58179144,5110710260,0.01138
"United Kingdom",1992,57866349,5110710260,0.01132
"France",1992,57374179,5110710260,0.01123
"Italy",1992,56840847,5110710260,0.01112
"Spain",1992,39549438,5110710260,0.00774
"Poland",1992,38370697,5110710260,0.00751
"Romania",1992,22797027,5110710260,0.00446
"Netherlands",1992,15174244,5110710260,0.00297
"Czech Republic",1992,10315702,5110710260,0.00202
"Greece",1992,10325429,5110710260,0.00202
"Hungary",1992,10348684,5110710260,0.00202
"Belgium",1992,10045622,5110710260,0.00197
"Portugal",1992,9927680,5110710260,0.00194
"Serbia",1992,9826397,5110710260,0.00192
"Sweden",1992,8718867,5110710260,0.00171
"Bulgaria",1992,8658506,5110710260,0.00169
"Austria",1992,7914969,5110710260,0.00155
"Switzerland",1992,6995447,5110710260,0.00137
"Slovak Republic",1992,5302888,5110710260,0.00104
"Denmark",1992,5171393,5110710260,0.00101
"Finland",1992,5041039,5110710260,0.00099
"Croatia",1992,4494013,5110710260,0.00088
"Norway",1992,4286357,5110710260,0.00084
"Bosnia and Herzegovina",1992,4256013,5110710260,0.00083
"Ireland",1992,3557761,5110710260,7e-04
"Albania",1992,3326498,5110710260,0.00065
"Slovenia",1992,1999210,5110710260,0.00039
"Montenegro",1992,621621,5110710260,0.00012
"Iceland",1992,259012,5110710260,5e-05
"Germany",1997,82011073,5515204472,0.01487
"Turkey",1997,63047647,5515204472,0.01143
"United Kingdom",1997,58808266,5515204472,0.01066
"France",1997,58623428,5515204472,0.01063
"Italy",1997,57479469,5515204472,0.01042
"Spain",1997,39855442,5515204472,0.00723
"Poland",1997,38654957,5515204472,0.00701
"Romania",1997,22562458,5515204472,0.00409
"Netherlands",1997,15604464,5515204472,0.00283
"Greece",1997,10502372,5515204472,0.0019
"Czech Republic",1997,10300707,5515204472,0.00187
"Serbia",1997,10336594,5515204472,0.00187
"Hungary",1997,10244684,5515204472,0.00186
"Belgium",1997,10199787,5515204472,0.00185
"Portugal",1997,10156415,5515204472,0.00184
"Sweden",1997,8897619,5515204472,0.00161
"Austria",1997,8069876,5515204472,0.00146
"Bulgaria",1997,8066057,5515204472,0.00146
"Switzerland",1997,7193761,5515204472,0.0013
"Slovak Republic",1997,5383010,5515204472,0.00098
"Denmark",1997,5283663,5515204472,0.00096
"Finland",1997,5134406,5515204472,0.00093
"Croatia",1997,4444595,5515204472,0.00081
"Norway",1997,4405672,5515204472,8e-04
"Ireland",1997,3667233,5515204472,0.00066
"Bosnia and Herzegovina",1997,3607000,5515204472,0.00065
"Albania",1997,3428038,5515204472,0.00062
"Slovenia",1997,2011612,5515204472,0.00036
"Montenegro",1997,692651,5515204472,0.00013
"Iceland",1997,271192,5515204472,5e-05
"Germany",2002,82350671,5886977579,0.01399
"Turkey",2002,67308928,5886977579,0.01143
"France",2002,59925035,5886977579,0.01018
"United Kingdom",2002,59912431,5886977579,0.01018
"Italy",2002,57926999,5886977579,0.00984
"Spain",2002,40152517,5886977579,0.00682
"Poland",2002,38625976,5886977579,0.00656
"Romania",2002,22404337,5886977579,0.00381
"Netherlands",2002,16122830,5886977579,0.00274
"Greece",2002,10603863,5886977579,0.0018
"Portugal",2002,10433867,5886977579,0.00177
"Belgium",2002,10311970,5886977579,0.00175
"Czech Republic",2002,10256295,5886977579,0.00174
"Serbia",2002,10111559,5886977579,0.00172
"Hungary",2002,10083313,5886977579,0.00171
"Sweden",2002,8954175,5886977579,0.00152
"Austria",2002,8148312,5886977579,0.00138
"Bulgaria",2002,7661799,5886977579,0.0013
"Switzerland",2002,7361757,5886977579,0.00125
"Slovak Republic",2002,5410052,5886977579,0.00092
"Denmark",2002,5374693,5886977579,0.00091
"Finland",2002,5193039,5886977579,0.00088
"Norway",2002,4535591,5886977579,0.00077
"Croatia",2002,4481020,5886977579,0.00076
"Bosnia and Herzegovina",2002,4165416,5886977579,0.00071
"Ireland",2002,3879155,5886977579,0.00066
"Albania",2002,3508512,5886977579,6e-04
"Slovenia",2002,2011497,5886977579,0.00034
"Montenegro",2002,720230,5886977579,0.00012
"Iceland",2002,288030,5886977579,5e-05
"Germany",2007,82400996,6251013179,0.01318
"Turkey",2007,71158647,6251013179,0.01138
"France",2007,61083916,6251013179,0.00977
"United Kingdom",2007,60776238,6251013179,0.00972
"Italy",2007,58147733,6251013179,0.0093
"Spain",2007,40448191,6251013179,0.00647
"Poland",2007,38518241,6251013179,0.00616
"Romania",2007,22276056,6251013179,0.00356
"Netherlands",2007,16570613,6251013179,0.00265
"Greece",2007,10706290,6251013179,0.00171
"Portugal",2007,10642836,6251013179,0.0017
"Belgium",2007,10392226,6251013179,0.00166
"Czech Republic",2007,10228744,6251013179,0.00164
"Serbia",2007,10150265,6251013179,0.00162
"Hungary",2007,9956108,6251013179,0.00159
"Sweden",2007,9031088,6251013179,0.00144
"Austria",2007,8199783,6251013179,0.00131
"Switzerland",2007,7554661,6251013179,0.00121
"Bulgaria",2007,7322858,6251013179,0.00117
"Denmark",2007,5468120,6251013179,0.00087
"Slovak Republic",2007,5447502,6251013179,0.00087
"Finland",2007,5238460,6251013179,0.00084
"Norway",2007,4627926,6251013179,0.00074
"Bosnia and Herzegovina",2007,4552198,6251013179,0.00073
"Croatia",2007,4493312,6251013179,0.00072
"Ireland",2007,4109086,6251013179,0.00066
"Albania",2007,3600523,6251013179,0.00058
"Slovenia",2007,2009245,6251013179,0.00032
"Montenegro",2007,684736,6251013179,0.00011
"Iceland",2007,301931,6251013179,5e-05
